id,name,logo,wins,losses,winPercentage,conference,division,gamesBehind,streak,winStreak
2,Boston Celtics,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,30,13,0.698,east,atlantic,0,1,true
24,New York Knicks,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,28,16,0.636,east,atlantic,2.5,1,true
27,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,15,26,0.366,east,atlantic,14,6,false
4,Brooklyn Nets,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,14,29,0.326,east,atlantic,16,3,false
38,Toronto Raptors,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,10,32,0.238,east,atlantic,19.5,1,false
7,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,36,6,0.857,east,central,0,2,true
21,Milwaukee Bucks,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,24,17,0.585,east,central,11.5,4,true
15,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/thumb/c/cf/Pacers_de_l%27Indiana_logo.svg/1180px-Pacers_de_l%27Indiana_logo.svg.png,24,19,0.558,east,central,12.5,2,true
10,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,22,21,0.512,east,central,14.5,1,true
6,Chicago Bulls,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,19,25,0.432,east,central,18,1,true
1,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,22,20,0.524,east,southeast,0,1,false
26,Orlando Magic,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,23,21,0.523,east,southeast,0,3,false
20,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,21,20,0.512,east,southeast,0.5,1,true
